"Precision","Key","Message"
"1.000000","beab","an av neil"
"1.000000","biab","aj av nail"
"1.000000","beaam","an aw chem"
"1.000000","beabm","an av chem"
"1.000000","beacm","an au chem"
"1.000000","beadm","an at chem"
"1.000000","beaem","an as chem"
"1.000000","beafm","an ar chem"
"1.000000","beahm","an ap chem"
"1.000000","beajm","an an chem"
"1.000000","beakm","an am chem"
"1.000000","bealm","an al chem"
"1.000000","beamm","an ak chem"
"1.000000","beanm","an aj chem"
"1.000000","beaom","an ai chem"
"1.000000","beapm","an ah chem"
"1.000000","beaqm","an ag chem"
"1.000000","bearm","an af chem"
"1.000000","beasm","an ae chem"
"1.000000","beatm","an ad chem"
"1.000000","beaum","an ac chem"
"1.000000","beavm","an ab chem"
"1.000000","beawm","an aa chem"
"1.000000","ajaadi","bi aw laid"
"1.000000","ajaaog","bi aw acid"
"1.000000","ajabdi","bi av laid"
"1.000000","ajabog","bi av acid"
"1.000000","ajacdi","bi au laid"
"1.000000","ajacog","bi au acid"
"1.000000","ajaddi","bi at laid"
"1.000000","ajadog","bi at acid"
"1.000000","ajaedi","bi as laid"
"1.000000","ajaeog","bi as acid"
"1.000000","ajafdi","bi ar laid"
"1.000000","ajafog","bi ar acid"
"1.000000","ajahdi","bi ap laid"
"1.000000","ajahog","bi ap acid"
"1.000000","ajajdi","bi an laid"
"1.000000","ajajog","bi an acid"
"1.000000","ajakdi","bi am laid"
"1.000000","ajakog","bi am acid"
"1.000000","ajaldi","bi al laid"
"1.000000","ajalog","bi al acid"
"1.000000","ajamdi","bi ak laid"
"1.000000","ajamog","bi ak acid"
"1.000000","ajandi","bi aj laid"
"1.000000","ajanog","bi aj acid"
"1.000000","ajaodi","bi ai laid"
"1.000000","ajaoog","bi ai acid"
"1.000000","ajapdi","bi ah laid"
"1.000000","ajapog","bi ah acid"
"1.000000","ajaqdi","bi ag laid"
"1.000000","ajaqog","bi ag acid"
"1.000000","ajardi","bi af laid"
"1.000000","ajarog","bi af acid"
"1.000000","ajasdi","bi ae laid"
"1.000000","ajasog","bi ae acid"
"1.000000","ajatdi","bi ad laid"
"1.000000","ajatog","bi ad acid"
"1.000000","ajaudi","bi ac laid"
"1.000000","ajauog","bi ac acid"
"1.000000","ajavdi","bi ab laid"
"1.000000","ajavog","bi ab acid"
"1.000000","ajawdi","bi aa laid"
"1.000000","ajawog","bi aa acid"
"1.000000","aaaambe","br aw chem"
"1.000000","aaaanei","br aw beam"
"1.000000","aaaaofi","br aw adam"
"1.000000","aaabmbe","br av chem"
"1.000000","aaabnei","br av beam"
"1.000000","aaabofi","br av adam"
"1.000000","aaacmbe","br au chem"
"1.000000","aaacnei","br au beam"
"1.000000","aaacofi","br au adam"
"1.000000","aaadmbe","br at chem"
"1.000000","aaadnei","br at beam"
"1.000000","aaadofi","br at adam"
"1.000000","aaaembe","br as chem"
"1.000000","aaaenei","br as beam"
"1.000000","aaaeofi","br as adam"
"1.000000","aaafmbe","br ar chem"
"1.000000","aaafnei","br ar beam"
"1.000000","aaafofi","br ar adam"
"1.000000","aaahmbe","br ap chem"
"1.000000","aaahnei","br ap beam"
"1.000000","aaahofi","br ap adam"
"1.000000","aaajmbe","br an chem"
"1.000000","aaajnei","br an beam"
"1.000000","aaajofi","br an adam"
"1.000000","aaakmbe","br am chem"
"1.000000","aaaknei","br am beam"
"1.000000","aaakofi","br am adam"
"1.000000","aaalmbe","br al chem"
"1.000000","aaalnei","br al beam"
"1.000000","aaalofi","br al adam"
"1.000000","aaammbe","br ak chem"
"1.000000","aaamnei","br ak beam"
"1.000000","aaamofi","br ak adam"
"1.000000","aaanmbe","br aj chem"
"1.000000","aaannei","br aj beam"
"1.000000","aaanofi","br aj adam"
"1.000000","aaaombe","br ai chem"
"1.000000","aaaonei","br ai beam"
"1.000000","aaaoofi","br ai adam"
"1.000000","aaapmbe","br ah chem"
"1.000000","aaapnei","br ah beam"
"1.000000","aaapofi","br ah adam"
"1.000000","aaaqmbe","br ag chem"
"1.000000","aaaqnei","br ag beam"
"1.000000","aaaqofi","br ag adam"
"1.000000","aaarmbe","br af chem"
"1.000000","aaarnei","br af beam"
"1.000000","aaarofi","br af adam"
"1.000000","aaasmbe","br ae chem"
"1.000000","aaasnei","br ae beam"
"1.000000","aaasofi","br ae adam"
"1.000000","aaatmbe","br ad chem"
"1.000000","aaatnei","br ad beam"
"1.000000","aaatofi","br ad adam"
"1.000000","aaaumbe","br ac chem"
"1.000000","aaaunei","br ac beam"
"1.000000","aaauofi","br ac adam"
"1.000000","aaavmbe","br ab chem"
"1.000000","aaavnei","br ab beam"
"1.000000","aaavofi","br ab adam"
"1.000000","aaawmbe","br aa chem"
"1.000000","aaawnei","br aa beam"
"1.000000","aaawofi","br aa adam"
"Precision","Key","Message"
"Precision","Key","Message"
